bar_prev,bar_curr,mode,inter_distance,dist_before_prev,dist_after_prev,dist_before_curr,return_long,return_short,mae_long,mae_short,prev_val_small,prev_val_large,prev_above_zero_small,prev_above_zero_large,prev_cross_up,prev_small_slope,prev_large_slope,prev_amp_small,prev_amp_large,prev_atr,prev_composite,prev_pr_status,prev_pr_peak,prev_pr_trough,curr_val_small,curr_val_large,curr_above_zero_small,curr_above_zero_large,curr_cross_up,curr_small_slope,curr_large_slope,curr_amp_small,curr_amp_large,curr_atr,curr_composite,curr_pr_status,curr_pr_peak,curr_pr_trough,asset
20874,21348,norm,474,0.0448212325235757,0.0438784705139339,0.0170381344573586,-0.2834366696191401,0.2834366696191401,1.293179805137285,1.0097431355181643,-0.1447516509881468,-0.1462131597685034,False,False,True,0.0023852117210596,-0.0004457375875912,0.0073378787597961,0.0226387598372963,0.0006928571428571,-0.0028309493086508,neutral,False,False,-0.4443588651992863,-0.4436264397245189,False,False,False,-0.0018940042115662,-0.0006579828780731,0.0065980862310398,0.0179709971583563,0.0004642857142857,0.001236021333493,neutral,False,False,CRV_USDT
21348,21420,norm,72,0.0170381344573586,0.0134738068133155,0.0219990841794431,3.037839758394032,-3.037839758394032,0.0,3.464203233256364,-0.4443588651992863,-0.4436264397245189,False,False,False,-0.0018940042115662,-0.0006579828780731,0.0065980862310398,0.0179709971583563,0.0004642857142857,0.001236021333493,neutral,False,False,-0.4565841889867791,-0.456822027217919,False,False,True,0.0019181692428496,0.0001492016973819,0.0057079686406788,0.0165621800534806,0.0012142857142857,-0.0017689675454676,neutral,False,False,CRV_USDT
21420,22092,norm,672,0.0219990841794431,0.0267690199685354,0.0169752446861617,8.086206896551735,-8.086206896551735,0.8103448275861942,8.206896551724153,-0.4565841889867791,-0.456822027217919,False,False,True,0.0019181692428496,0.0001492016973819,0.0057079686406788,0.0165621800534806,0.0012142857142857,-0.0017689675454676,neutral,False,False,0.5301795690752619,0.5303781240582123,True,True,False,-0.0006337497016069,0.0005028534424893,0.0223039740360287,0.0181139142786204,0.0010642857142857,-0.0011366031440963,neutral,False,False,CRV_USDT
22092,23679,norm,1587,0.0169752446861617,0.0153673010117286,0.0643580019380946,0.7018663263678353,-0.7018663263678353,1.5153932046578504,5.072579358749392,0.5301795690752619,0.5303781240582123,True,True,False,-0.0006337497016069,0.0005028534424893,0.0223039740360287,0.0181139142786204,0.0010642857142857,-0.0011366031440963,neutral,False,False,-0.6857399014464762,-0.6868172848380795,False,False,True,0.003312211528407,-0.0009580099503606,0.0104357650255496,0.036139187540005,0.0006357142857142,-0.0042702214787677,neutral,False,False,CRV_USDT
23679,24576,norm,897,0.0643580019380946,0.0615681952705548,0.0421670459446436,-2.5186123871376567,2.5186123871376567,4.45113258355774,1.552352288927615,-0.6857399014464762,-0.6868172848380795,False,False,True,0.003312211528407,-0.0009580099503606,0.0104357650255496,0.036139187540005,0.0006357142857142,-0.0042702214787677,neutral,False,False,-0.4578826269652954,-0.456362714563212,False,False,False,-0.0007547248046483,0.0021799109768348,0.006995130299279,0.0122124515621601,0.0007285714285714,0.0029346357814831,neutral,False,False,CRV_USDT
24576,24907,norm,331,0.0421670459446436,0.0466160140748128,0.0342752389340036,0.1787455313617323,-0.1787455313617323,0.7149821254468572,0.7799805004874921,-0.4578826269652954,-0.456362714563212,False,False,False,-0.0007547248046483,0.0021799109768348,0.006995130299279,0.0122124515621601,0.0007285714285714,0.0029346357814831,neutral,False,False,0.0240652942033505,0.0225339603180226,True,True,True,0.0033056315739117,0.0011046751568945,0.0102807031942946,0.012848801570914,0.0004642857142857,0.0022009564170171,neutral,False,False,CRV_USDT
24907,25483,norm,576,0.0342752389340036,0.0224502997120994,0.0420492452011377,8.256285482562847,-8.256285482562847,0.227088402270895,8.43471208434711,0.0240652942033505,0.0225339603180226,True,True,True,0.0033056315739117,0.0011046751568945,0.0102807031942946,0.012848801570914,0.0004642857142857,0.0022009564170171,neutral,False,False,0.8785521124782546,0.8807258471699371,True,True,False,-0.0013341164813385,0.0014955401911305,0.0159396500809624,0.012841476210637,0.0016857142857142,-0.0028296566724691,neutral,False,False,CRV_USDT
25483,26742,norm,1259,0.0420492452011377,0.0426140196856761,0.048787911746506,2.4123464189391672,-2.4123464189391672,2.637099190890013,4.554989511537307,0.8785521124782546,0.8807258471699371,True,True,False,-0.0013341164813385,0.0014955401911305,0.0159396500809624,0.012841476210637,0.0016857142857142,-0.0028296566724691,neutral,False,False,-0.0824316120931497,-0.0842880284518586,False,False,True,0.0023346693923962,-0.0007790029402325,0.0093526092119421,0.0321676450772338,0.0014142857142857,-0.0031136723326288,neutral,False,False,CRV_USDT
26742,27884,norm,1142,0.048787911746506,0.0508017085181745,0.0183753215315904,1.5069495245062146,-1.5069495245062146,1.8873445501097328,6.144842721287496,-0.0824316120931497,-0.0842880284518586,False,False,True,0.0023346693923962,-0.0007790029402325,0.0093526092119421,0.0321676450772338,0.0014142857142857,-0.0031136723326288,neutral,False,False,0.0136922310984764,0.0147605383842888,True,True,False,-0.0014977764263735,-0.0001944291900274,0.0119975231280822,0.0186005266972119,0.0017285714285714,-0.0013033472363461,os_trend_start,False,False,CRV_USDT
27884,28563,norm,679,0.0183753215315904,0.0193130949571678,0.0690452291203305,3.747477659267804,-3.747477659267804,0.0,6.961660420870569,0.0136922310984764,0.0147605383842888,True,True,False,-0.0014977764263735,-0.0001944291900274,0.0119975231280822,0.0186005266972119,0.0017285714285714,-0.0013033472363461,os_trend_start,False,False,-0.3243468935801915,-0.3258029997517769,False,False,True,0.0051911957400169,-0.0001818901428343,0.0042944178107689,0.0160552025387455,0.0030714285714285,-0.0053730858828513,neutral,False,False,CRV_USDT
28563,29325,norm,762,0.0690452291203305,0.0921541068148889,0.0140394746404678,7.099194220616843,-7.099194220616843,2.58405112531258,11.072520144484578,-0.3243468935801915,-0.3258029997517769,False,False,True,0.0051911957400169,-0.0001818901428343,0.0042944178107689,0.0160552025387455,0.0030714285714285,-0.0053730858828513,neutral,False,False,0.5333917205355417,0.5342574249311245,True,True,False,-0.0007013291085972,0.000329980186884,0.0272444703648777,0.0215587099792955,0.0025214285714285,-0.0010313092954812,neutral,False,False,CRV_USDT
